,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atambua,-9.1061,124.8925,78.19,79,94,3.06,ID,1616804091
1,Jamestown,42.097,-79.2353,43.0,93,90,12.3,US,1616804092
2,Gigmoto,13.7796,124.39,81.37,80,100,8.99,PH,1616804092
3,Ilulissat,69.2167,-51.1,-13.0,48,14,7.36,GL,1616804092
4,Ushuaia,-54.8,-68.3,50.0,62,75,5.75,AR,1616804093
5,Englehart,47.8169,-79.8664,28.4,74,1,4.61,CA,1616804093
6,Chara,56.9064,118.2631,22.78,92,100,1.66,RU,1616804093
7,Vila Franca do Campo,37.7167,-25.4333,55.4,76,20,6.91,PT,1616803907
8,Puerto Ayora,-0.7393,-90.3518,80.01,86,67,5.99,EC,1616803984
9,Esperance,-33.8667,121.9,57.2,88,0,12.66,AU,1616803858
10,Mananara,-16.1667,49.7667,75.07,94,84,2.95,MG,1616804094
11,San Cristobal,7.7669,-72.225,71.6,100,75,2.3,VE,1616804094
12,Rikitea,-23.1203,-134.9692,79.0,72,1,17.92,PF,1616804095
13,Butaritari,3.0707,172.7902,81.77,76,29,13.06,KI,1616804095
14,Tasiilaq,65.6145,-37.6368,6.8,47,75,9.22,GL,1616804095
15,Cidreira,-30.1811,-50.2056,68.27,92,100,7.02,BR,1616804096
16,Vaitape,-16.5167,-151.75,82.89,73,10,21.99,PF,1616804096
17,Busselton,-33.65,115.3333,55.0,91,83,5.59,AU,1616804096
18,Saskylakh,71.9167,114.0833,3.04,96,99,3.0,RU,1616804097
19,Yulara,-25.2406,130.9889,78.8,53,40,6.91,AU,1616804097
20,Leh,34.1667,77.5833,36.0,49,35,3.71,IN,1616804097
21,Kapaa,22.0752,-159.319,80.01,78,75,9.22,US,1616804098
22,Szczecinek,53.7079,16.6994,46.0,78,78,11.01,PL,1616804098
23,Khatanga,71.9667,102.5,-11.4,97,92,2.59,RU,1616803861
24,Weirton,40.419,-80.5895,55.4,54,90,4.61,US,1616804098
25,Vaini,-21.2,-175.2,84.2,74,40,10.36,TO,1616804099
26,Diego de Almagro,-26.3667,-70.05,64.15,45,0,3.02,CL,1616803888
27,Albany,42.6001,-73.9662,48.99,72,71,7.0,US,1616803808
28,Port Macquarie,-31.4333,152.9167,79.0,60,71,1.01,AU,1616804029
29,Pevek,69.7008,170.3133,-20.0,93,82,5.1,RU,1616803861
30,Aklavik,68.2191,-135.0107,-2.2,71,92,8.05,CA,1616804099
31,Salihorsk,52.7876,27.5415,37.62,84,14,5.06,BY,1616804100
32,Hermanus,-34.4187,19.2345,62.01,93,44,11.65,ZA,1616804100
33,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.2,53,100,4.47,RU,1616804015
34,Aliaga,15.5167,120.8667,78.8,78,75,4.61,PH,1616804100
35,Ribeira Grande,38.5167,-28.7,57.9,61,45,6.08,PT,1616804101
36,Qaanaaq,77.484,-69.3632,-9.47,66,100,4.74,GL,1616804101
37,Hobart,-42.8794,147.3294,60.01,82,75,5.75,AU,1616804102
38,Bluff,-46.6,168.3333,57.92,78,100,5.12,NZ,1616804104
39,Barrow,71.2906,-156.7887,-9.4,70,1,3.44,US,1616804103
40,Torbay,47.6666,-52.7314,44.01,100,90,9.22,CA,1616804104
41,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,40,6.91,CA,1616803858
42,Cape Town,-33.9258,18.4232,63.0,94,75,2.3,ZA,1616803959
43,Labuhan,-6.8844,112.2051,79.47,85,98,4.45,ID,1616803898
44,Hualmay,-11.0964,-77.6139,70.47,81,49,7.23,PE,1616804105
45,Ponta Delgada,37.7333,-25.6667,55.4,76,20,4.61,PT,1616804106
46,Bonavista,48.6499,-53.1147,34.0,86,100,4.61,CA,1616804106
47,San Andrés,12.5847,-81.7006,78.8,83,40,11.5,CO,1616804106
48,Pecos,31.4229,-103.4932,82.4,4,1,6.91,US,1616804107
49,Severo-Kuril'sk,50.6789,156.125,26.15,94,100,21.23,RU,1616803871
50,Klaksvík,62.2266,-6.589,39.2,48,40,13.8,FO,1616803936
51,Salalah,17.0151,54.0924,73.4,27,0,5.75,OM,1616803887
52,Punta Arenas,-53.15,-70.9167,51.01,71,75,8.05,CL,1616803879
53,Borjomi,41.8527,43.4128,32.9,96,100,2.62,GE,1616804108
54,Totoral,-17.4053,-70.365,63.72,69,64,3.44,PE,1616804108
55,Chokurdakh,70.6333,147.9167,-16.28,96,83,5.48,RU,1616803883
56,College,64.8569,-147.8028,28.0,54,90,6.91,US,1616804108
57,Awallan,17.9244,121.913,79.54,77,45,3.27,PH,1616804109
58,Thompson,55.7435,-97.8558,23.0,80,90,9.22,CA,1616804109
59,Sitka,57.0531,-135.33,42.8,81,90,3.44,US,1616804110
60,Kruisfontein,-34.0033,24.7314,64.0,71,13,1.99,ZA,1616804110
61,Edd,13.9297,41.6925,81.34,43,1,7.56,ER,1616804110
62,Hilo,19.7297,-155.09,80.6,54,75,11.5,US,1616803466
63,Kismayo,-0.3582,42.5454,79.41,76,89,14.5,SO,1616803816
64,Sorong,-0.8833,131.25,81.14,82,93,3.38,ID,1616804111
65,Vaasa,63.096,21.6158,37.4,87,40,11.5,FI,1616804111
66,Yangi Marg`ilon,40.4272,71.7189,51.8,93,75,4.61,UZ,1616804112
67,Atuona,-9.8,-139.0333,80.92,75,27,19.3,PF,1616804112
68,Kachug,53.9606,105.8817,22.69,93,100,4.27,RU,1616804112
69,Chui,-33.6971,-53.4616,67.78,94,100,5.79,UY,1616803836
70,The Valley,18.217,-63.0578,78.01,73,20,12.66,AI,1616804113
71,Mitsamiouli,-11.3847,43.2844,81.9,75,6,4.18,KM,1616804113
72,East London,-33.0153,27.9116,68.74,85,54,17.13,ZA,1616804092
73,Saint-Philippe,-21.3585,55.7679,77.0,73,24,5.75,RE,1616803855
74,Port Elizabeth,-33.918,25.5701,68.0,68,0,19.57,ZA,1616803873
75,Beruwala,6.4788,79.9828,77.05,86,100,3.42,LK,1616804114
76,Avarua,-21.2078,-159.775,84.2,70,75,14.97,CK,1616804114
77,Oranjemund,-28.55,16.4333,60.62,82,0,3.4,NA,1616804114
78,Swāmimalai,10.95,79.3333,73.83,94,90,4.23,IN,1616804115
79,Ishigaki,24.3448,124.1572,73.4,94,75,11.5,JP,1616803885
80,Saint Paul Harbor,57.79,-152.4072,37.4,44,20,8.05,US,1616804115
81,Provideniya,64.3833,-173.3,7.0,87,100,12.46,RU,1616803990
82,Paján,-1.5667,-80.4167,73.96,93,55,4.25,EC,1616804115
83,Souillac,-20.5167,57.5167,75.2,88,20,6.91,MU,1616803878
84,Dumabato,16.3167,121.7,76.8,76,97,0.92,PH,1616804116
85,Kysyl-Syr,63.8986,122.7617,14.2,96,90,4.09,RU,1616804116
86,Asău,46.4333,26.4,34.0,60,15,4.72,RO,1616804062
87,Jánoshalma,46.2986,19.3258,43.0,64,7,7.83,HU,1616804117
88,Mataura,-46.1927,168.8643,61.32,65,100,3.96,NZ,1616804117
89,Harper,4.375,-7.7169,78.3,90,1,7.07,LR,1616804118
90,Port Alfred,-33.5906,26.891,69.21,84,87,23.71,ZA,1616804118
91,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,72.0,95,77,1.99,AR,1616804112
92,Saldanha,-33.0117,17.9442,62.6,88,18,2.3,ZA,1616804119
93,Hofn,64.2539,-15.2082,18.45,65,94,19.08,IS,1616804119
94,Tuy Hoa,13.0833,109.3,76.37,86,88,2.3,VN,1616804119
95,Riohacha,11.5444,-72.9072,81.23,63,0,17.27,CO,1616803885
96,Clyde River,70.4692,-68.5914,-14.8,70,1,3.44,CA,1616804120
97,Hong Kong,22.2855,114.1577,73.0,86,100,10.45,HK,1616803911
98,Inongo,-1.95,18.2667,72.05,90,100,3.74,CD,1616804120
99,Ulaanbaatar,47.9077,106.8832,37.4,25,75,20.13,MN,1616803839
100,Kamenka,51.3223,42.7678,32.0,88,100,6.69,RU,1616804121
101,Rivadavia,-33.1905,-68.4608,59.0,67,0,3.44,AR,1616804121
102,Haines Junction,60.7522,-137.5108,33.8,60,100,3.44,CA,1616804121
103,Araouane,18.9048,-3.5265,72.3,6,0,11.05,ML,1616804122
104,Cabo San Lucas,22.8909,-109.9124,77.0,52,40,11.5,MX,1616803960
105,Lebu,-37.6167,-73.65,55.72,75,2,19.6,CL,1616804122
106,Gornyy,55.1153,83.9059,13.53,96,91,7.18,RU,1616804123
107,Lagoa,39.05,-27.9833,56.79,61,48,7.74,PT,1616804123
108,Dalvik,65.9702,-18.5286,17.6,62,90,6.91,IS,1616804123
109,Evensk,61.95,159.2333,0.86,88,69,2.98,RU,1616804124
110,São Filipe,14.8961,-24.4956,70.72,76,8,18.21,CV,1616804124
111,Los Llanos de Aridane,28.6585,-17.9182,69.8,49,90,6.91,ES,1616804124
112,Artvin Province,41.1667,41.8333,39.2,93,75,5.75,TR,1616803871
113,Nishihara,26.1842,127.7558,73.4,73,40,16.11,JP,1616804125
114,Ayan,56.45,138.1667,11.53,87,63,4.79,RU,1616804125
115,Tautira,-17.7333,-149.15,87.8,62,20,2.3,PF,1616804126
116,Minudasht,37.2289,55.3747,51.8,93,0,4.41,IR,1616804126
117,Ardakān,32.31,54.0175,71.6,23,0,6.91,IR,1616804126
118,Mitú,1.1983,-70.1733,71.98,93,95,2.04,CO,1616804126
119,Darnah,32.767,22.6367,52.45,62,19,5.03,LY,1616803830
120,Tokonou,9.65,-9.7833,77.99,16,1,3.96,GN,1616804127
121,Mwinilunga,-11.7358,24.4293,60.98,97,100,1.14,ZM,1616804128
122,Wattegama,6.7989,81.4808,74.19,91,100,3.02,LK,1616804128
123,Cayenne,4.9333,-52.3333,80.01,89,40,8.05,GF,1616803946
124,Tomatlán,19.9333,-105.25,80.11,37,94,10.96,MX,1616804129
125,Olafsvik,64.8945,-23.7142,18.72,62,96,10.85,IS,1616804129
126,Lüderitz,-26.6481,15.1594,62.37,80,0,8.59,NA,1616804129
127,Tabou,4.423,-7.3528,78.12,88,20,5.93,CI,1616804130
128,Bengkulu,-3.8004,102.2655,76.68,89,99,4.12,ID,1616803935
129,Tilichiki,60.4667,166.1,3.81,85,23,6.44,RU,1616804130
130,Mahāsamund,21.1,82.1,72.68,22,0,1.86,IN,1616804130
131,Tura,25.5198,90.2201,68.56,15,0,3.24,IN,1616804131
132,Ubari,26.5921,12.7805,54.36,36,0,7.78,LY,1616804131
133,Nauta,-4.5061,-73.5757,74.1,95,47,2.08,PE,1616804131
134,Warrington,53.3925,-2.5802,42.8,70,40,17.27,GB,1616804132
135,Tignère,7.3667,12.65,70.86,33,58,1.88,CM,1616804132
136,Hasaki,35.7333,140.8333,54.0,54,20,3.44,JP,1616804132
137,Ukiah,39.1502,-123.2078,73.4,18,1,3.96,US,1616803582
138,Carmarthen,51.8555,-4.3054,42.8,75,40,25.32,GB,1616804133
139,Te Anau,-45.4167,167.7167,64.67,55,100,4.68,NZ,1616803879
140,Kavaratti,10.5669,72.642,82.56,73,39,2.82,IN,1616804133
141,Baijiantan,45.6333,85.1833,40.69,71,100,2.59,CN,1616804133
142,Maracaçumé,-2.0428,-45.9592,71.71,99,99,2.33,BR,1616804134
143,Kushima,31.4583,131.2333,60.8,55,20,6.91,JP,1616804134
144,Izumo,35.3667,132.7667,44.6,57,0,5.75,JP,1616803951
145,Ullal,12.8,74.85,80.6,89,20,4.61,IN,1616804134
146,Mananjary,-21.2167,48.3333,73.74,93,31,3.69,MG,1616804135
147,Mossamedes,-15.1961,12.1522,73.02,83,87,8.43,AO,1616804135
148,Marolambo,-20.05,48.1167,69.37,98,62,1.54,MG,1616804135
149,Naryan-Mar,67.6713,53.087,16.18,89,30,10.27,RU,1616804136
150,Pisco,-13.7,-76.2167,70.0,73,0,20.71,PE,1616804136
151,George Town,5.4112,100.3354,78.01,100,40,2.15,MY,1616803888
152,Upernavik,72.7868,-56.1549,-32.46,89,14,4.47,GL,1616804137
153,Kasongo-Lunda,-6.4667,16.8167,69.67,98,100,0.78,CD,1616804137
154,Rocha,-34.4833,-54.3333,65.93,97,71,5.12,UY,1616804137
155,Keminmaa,65.8596,24.8228,30.2,80,0,6.91,FI,1616804138
156,Sire,12.9299,5.2043,80.11,10,90,19.17,NG,1616804138
157,Zharkent,44.1628,80.0,50.63,84,100,2.57,KZ,1616804138
158,Kemin,42.7846,75.6892,46.4,89,100,5.23,KG,1616804139
159,Moose Factory,51.2585,-80.6094,12.2,67,1,6.91,CA,1616804139
160,Fairbanks,64.8378,-147.7164,27.0,74,90,6.91,US,1616804139
161,Ceres,37.5949,-120.9577,72.0,19,1,13.8,US,1616804140
162,Mahébourg,-20.4081,57.7,75.2,88,20,6.91,MU,1616804140
163,Hambantota,6.1241,81.1185,79.07,83,100,10.74,LK,1616804140
164,Zhigansk,66.7697,123.3711,11.84,93,100,20.89,RU,1616804141
165,Humberto de Campos,-2.5983,-43.4611,74.35,94,100,2.82,BR,1616804141
166,Kikwit,-5.041,18.8162,70.14,97,100,1.45,CD,1616804141
167,Santa Cruz de Tenerife,28.4682,-16.2546,64.99,87,0,4.61,ES,1616804142
168,Porto-Novo,6.4965,2.6036,84.2,79,40,13.8,BJ,1616804000
169,Nyimba,-14.5566,30.8149,65.71,95,19,1.66,ZM,1616804142
170,Brae,60.3964,-1.353,41.0,75,90,5.75,GB,1616804142
171,Pacific Grove,36.6177,-121.9166,66.0,48,1,9.22,US,1616804050
172,Pelym,61.0108,61.9978,23.58,94,11,6.24,RU,1616804143
173,Dhārchula,29.85,80.5333,56.95,23,0,7.67,IN,1616804143
174,Alyangula,-13.8483,136.4192,85.62,67,90,9.91,AU,1616804143
175,Nikolskoye,59.7035,30.7861,34.0,93,40,2.46,RU,1616804144
176,Tremedal,-14.9758,-41.4108,70.18,41,0,4.59,BR,1616804144
177,New Norfolk,-42.7826,147.0587,60.01,88,100,5.99,AU,1616804145
178,Mandera,3.9366,41.867,79.12,42,12,18.68,KE,1616804145
179,Lake Cowichan,48.825,-124.0546,51.8,62,75,5.75,CA,1616804145
180,Carnarvon,-24.8667,113.6333,77.0,65,100,12.66,AU,1616804146
181,Bredasdorp,-34.5322,20.0403,64.4,77,9,9.22,ZA,1616804146
182,Lewisporte,49.2499,-55.0482,30.2,93,90,18.41,CA,1616804146
183,Rantepao,-2.9701,119.8978,70.23,94,100,1.21,ID,1616804147
184,Mumbai,19.0144,72.8479,82.4,44,2,7.29,IN,1616803913
185,Castro,-24.7911,-50.0119,64.76,92,59,3.09,BR,1616804112
186,St. George's,12.0564,-61.7485,78.8,78,20,13.8,GD,1616804147
187,Dingle,10.9995,122.6711,81.03,77,79,9.6,PH,1616804147
188,Road Town,18.4167,-64.6167,78.8,73,40,17.27,VG,1616804148
189,Margate,51.3813,1.3862,41.0,75,73,8.01,GB,1616804148
190,Mar del Plata,-38.0023,-57.5575,64.99,88,75,27.63,AR,1616804148
191,Levice,48.2156,18.6071,46.0,52,1,6.13,SK,1616804149
192,Mahibadhoo,3.7833,72.9667,83.3,72,100,13.27,MV,1616804149
193,Sirumugai,11.3333,77.0167,78.8,83,20,1.03,IN,1616804149
194,Seymchan,62.8833,152.4333,-12.73,91,78,3.53,RU,1616804150
195,Bismarck,46.8083,-100.7837,42.8,49,90,6.91,US,1616803864
196,Coyhaique,-45.5752,-72.0662,55.4,71,75,5.66,CL,1616804150
197,Kendari,-3.945,122.4989,78.1,89,100,3.44,ID,1616804150
198,Mnogovershinnyy,53.9353,139.9242,24.22,78,9,3.56,RU,1616804151
199,Bethel,41.3712,-73.414,68.0,37,75,19.57,US,1616804151
200,Dawei,14.0833,98.2,76.5,90,35,3.36,MM,1616804151
201,High Level,58.5169,-117.136,35.6,35,20,5.75,CA,1616804152
202,Isangel,-19.55,169.2667,84.2,79,75,4.61,VU,1616804152
203,Nanortalik,60.1432,-45.2371,8.38,69,33,24.92,GL,1616804152
204,Papara,-3.9839,-38.7273,77.0,88,75,2.3,BR,1616804153
205,Bilma,18.6853,12.9164,66.25,20,0,17.34,NE,1616804153
206,Natitingou,10.3042,1.3796,84.2,54,0,2.3,BJ,1616804154
207,Ambilobe,-13.2,49.05,73.56,94,100,2.15,MG,1616804154
208,Salinas,36.6777,-121.6555,66.0,42,1,12.66,US,1616804154
209,Norman Wells,65.282,-126.8329,30.2,47,75,2.3,CA,1616804155
210,Alice,27.7523,-98.0697,82.4,57,1,17.27,US,1616804155
211,Okhotsk,59.3833,143.3,3.52,84,36,5.64,RU,1616804155
212,Westport,41.1415,-73.3579,68.0,40,1,26.46,US,1616803951
213,Bubaque,11.2833,-15.8333,76.87,74,4,16.04,GW,1616804156
214,Alofi,-19.0595,-169.9187,84.2,74,54,16.11,NU,1616804156
215,Huilong,31.8111,121.655,64.0,94,99,3.0,CN,1616804157
216,Homer,59.6425,-151.5483,34.0,64,75,10.36,US,1616804157
217,Caluquembe,-13.7833,14.6833,59.45,95,100,1.14,AO,1616804157
218,Namatanai,-3.6667,152.4333,83.44,73,100,9.17,PG,1616804158
219,Kamina,-8.7386,24.9906,61.9,99,97,2.24,CD,1616804158
220,Ponta do Sol,32.6667,-17.1,64.4,88,40,6.91,PT,1616804158
221,Zeya,53.75,127.2667,31.14,70,99,3.53,RU,1616803938
222,Corinth,37.9407,22.9573,42.01,52,3,3.0,GR,1616804027
223,Airai,-8.9266,125.4092,67.78,76,94,2.06,TL,1616804159
224,Puri,19.8,85.85,77.0,94,40,3.44,IN,1616804159
225,Coahuayana Viejo,18.7333,-103.6833,75.2,53,75,5.17,MX,1616804160
226,Lorengau,-2.0226,147.2712,83.28,75,100,4.47,PG,1616804160
227,Shetpe,44.1667,52.1167,38.41,82,69,18.92,KZ,1616804160
228,Yellowknife,62.456,-114.3525,16.0,66,20,11.5,CA,1616804160
229,Tiksi,71.6872,128.8694,10.8,91,100,6.38,RU,1616803932
230,Rosarito,32.3333,-117.0333,60.8,58,20,9.22,MX,1616804161
231,San Francisco,37.7749,-122.4194,66.2,30,1,19.57,US,1616803781
232,Peace River,56.2501,-117.286,33.8,55,75,13.8,CA,1616804108
233,Dikson,73.5069,80.5464,-6.25,100,100,10.87,RU,1616804162
234,Kathu,7.9178,98.3332,87.01,89,40,3.44,TH,1616804162
235,Buala,-8.145,159.5921,85.35,72,32,11.41,SB,1616803945
236,Kristiansund,63.1115,7.732,41.0,87,20,17.27,NO,1616804163
237,Marathon,44.9,-89.7668,39.2,56,1,3.44,US,1616804163
238,Faanui,-16.4833,-151.75,82.87,73,10,22.06,PF,1616804163
239,Ulladulla,-35.35,150.4667,73.4,46,5,6.91,AU,1616804164
240,Goleniów,53.5639,14.8285,44.6,81,44,6.91,PL,1616804164
241,Bathsheba,13.2167,-59.5167,77.0,65,40,21.85,BB,1616804165
242,Stari Banovci,44.9864,20.2867,44.6,86,0,2.3,RS,1616804165
243,Nemuro,43.3236,145.575,37.4,44,20,4.61,JP,1616804165
244,Kuah,6.3265,99.8432,80.6,78,20,3.44,MY,1616804166
245,Lavrentiya,65.5833,-171.0,3.74,78,100,7.2,RU,1616804166
246,Senneterre,48.3835,-77.2328,33.8,64,75,9.22,CA,1616804166
247,Vao,-22.6667,167.4833,78.3,74,16,13.02,NC,1616804167
248,Vardø,70.3705,31.1107,33.8,69,0,14.97,NO,1616804167
249,Kiboga,0.9161,31.7742,63.93,87,100,4.54,UG,1616804168
250,Bandar-e Lengeh,26.5579,54.8807,80.6,36,20,4.61,IR,1616804168
251,Maltahöhe,-24.8333,16.9833,61.77,40,0,7.72,NA,1616804168
252,Uruguaiana,-29.7547,-57.0883,71.6,94,75,3.44,BR,1616804170
253,Soyo,-6.1349,12.3689,78.21,82,100,4.09,AO,1616804170
254,Amahai,-3.3333,128.9167,83.53,72,89,1.79,ID,1616804172
255,Acarí,-15.4311,-74.6158,73.62,74,31,4.32,PE,1616804172
256,Nelson Bay,-32.7167,152.15,75.99,57,90,12.66,AU,1616804173
257,Kaitangata,-46.2817,169.8464,63.0,75,91,4.0,NZ,1616804173
258,Kavieng,-2.5744,150.7967,83.28,73,99,10.18,PG,1616804173
259,Basco,20.4487,121.9702,78.06,81,26,15.9,PH,1616804174
260,São João da Barra,-21.6403,-41.0511,76.77,85,18,9.08,BR,1616803973
261,São Gabriel da Cachoeira,-0.1303,-67.0892,73.74,96,60,1.68,BR,1616804174
262,Salym,60.0625,71.4789,31.95,98,100,4.14,RU,1616804175
263,Vilcún,-38.65,-72.2333,53.6,76,0,4.61,CL,1616804175
264,Arraial do Cabo,-22.9661,-42.0278,78.8,83,0,6.91,BR,1616804176
265,Bandarbeyla,9.4942,50.8122,77.36,74,92,9.84,SO,1616804176
266,Longyearbyen,78.2186,15.6401,17.6,73,20,25.32,SJ,1616803884
267,Ust'-Kulom,61.6864,53.6902,14.32,97,60,3.4,RU,1616804177
268,San Quintín,30.4833,-115.95,58.01,61,20,16.22,MX,1616804177
269,Kopanskaya,46.2779,38.4795,37.29,91,95,6.82,RU,1616804177
270,Balaipungut,1.05,101.2833,71.6,100,40,6.91,ID,1616804178
271,Tyup,42.7276,78.3648,41.38,93,100,4.61,KG,1616804178
272,Savonlinna,61.8699,28.88,32.0,100,90,5.75,FI,1616804179
273,Ducheng,23.2373,111.5317,72.75,80,99,2.68,CN,1616804179
274,Khovd,48.0056,91.6419,22.35,40,38,0.98,MN,1616804180
275,Santa Rosa,14.3122,121.1114,86.0,65,20,3.44,PH,1616804180
276,Faya,18.3851,42.4509,60.8,67,0,1.32,SA,1616804180
277,Ahtopol,42.1,27.95,35.6,75,0,11.5,BG,1616804181
278,Kloulklubed,7.0419,134.2556,77.0,100,90,10.36,PW,1616804181
279,Hithadhoo,-0.6,73.0833,82.29,72,67,8.05,MV,1616804182
